car_model,price,year_model,kms
Kia Rio (r) Triptonico 1.4 Sedan Full,$44.900.000,2017,66.220
Kia Rio Spice Rio Spice,$35.600.000,2013,160.000
Kia Rio Spice Mecanico Modelo 2014,$42.000.000,2014,67.000
Kia Rio 1.4 Mecanico,$44.000.000,2015,122.000
Kia Rio 1.4 4 p,$47.000.000,2016,68.000
Kia Rio Spice 1.4,$38.900.000,2015,107.000
Kia Rio Autocrítica,$38.900.000,2015,107.000
Kia Rio Xcite 1.4 Mecánico 2012,$26.000.000,2012,137.000
Kia Rio 1.4 5 p,$29.900.000,2011,114.000
Kia Rio 1.4 Vibrant At,$62.900.000,2023,9.100
Kia Rio Sedan,$43.000.000,2015,85.800
Kia Rio Spice Mecánico 1400,$37.900.000,2014,136.000
Kia Rio 1.4 Vibrant Mt,$54.500.000,2018,49.000
Kia Rio R Rio R,$48.900.000,2016,66.000
Kia Rio 1.4L Vibrant AT,$56.900.000,2018,40.300
Kia Rio 1.4,$51.500.000,2018,58.000
Kia Rio 1.4 mt 5p,$35.500.000,2013,139.000
Kia Rio 1.4 Zenith Hb 4 p,$64.800.000,2021,36.800
Kia Rio 1.5 Stylus,$21.600.000,2012,103.492
Kia Rio 1.4 5 p,$30.500.000,2013,90.000
Kia Rio Zenith 1400 Cc M/t Sun Roof 2021,$61.000.000,2021,43.000
Kia Rio 1.4,$56.000.000,2018,96.000
Kia Rio 1.4 Vibrant Aut,$71.500.000,2024,4.300
Kia Rio 1.4 4 p 109 hp,$37.900.000,2012,81.000
Kia Rio Xcite 2010 Lindo Recibo Vehiculo,$28.800.000,2010,100.000
Kia Rio 1.4 Sc Hb,$52.500.000,2018,68.000
Kia Rio 1.4 Vibrant Mt,$62.000.000,2023,15.700
Kia Rio 1.4 Vibrant Mt,$56.000.000,2020,46.000
Kia Rio 1.2 4 p,$42.500.000,2015,96.351
Kia Rio 1.250 Mecanico Sdn,$47.900.000,2018,87.000
Kia Rio 1.4 Zenith Hb 5 p,$63.500.000,2020,59.500
Kia Rio Zenith 1.4,$57.500.000,2018,34.000
Kia,$40.490.000,2015,107.000
Kia Rio 1.2 4 p,$37.000.000,2014,120.224
Kia Rio 1.4 4 p Mecánica,$43.000.000,2017,100.000
Kia Rio 1.6 4 p,$28.800.000,2010,100.000
Kia Rio 1.4 Vibrant Hb 4 p,$57.500.000,2020,41.000
Kia Rio 1.4 Mecanico,$42.900.000,2015,166.000
Kia Rio 1.6 4 p,$29.500.000,2012,61.400
Kia Rio 1.2 4 p,$40.200.000,2014,107.000
Kia Rio 1.4 Vibrant Hb 5 p,$62.000.000,2020,52.486
Kia Rio 1.2 4 p,$35.990.000,2014,90.000
Kia Rio R Kia Rio R,$38.000.000,2014,137.800
Kia Rio Sedán 2023,$66.000.000,2023,23.900
Kia Rio Automático Sedan 1.4,$56.900.000,2018,39.000
Kia Rio 1.4 Vibrant Mt,$50.000.000,2018,94.000
Kia Rio 1.2 4 p,$39.900.000,2014,102.000
Kia Rio Spice R 1.4,$46.500.000,2017,90.000
Kia RIO UB EX 1.4,$53.000.000,2017,58.673
Kia Rio ZENITH AUTOMÁTICO,$72.500.000,2022,20.000
Kia Rio 1.4 Zenith Hb 5 p,$73.000.000,2023,10.000
Kia Rio 1.2 4 p,$34.000.000,2014,128.000
Kia Rio 1.4 5 p,$40.000.000,2013,133.000
Kia Rio Spice 1.4 Aut Vibrant 2023,$69.900.000,2023,21.000
Kia Rio 1.6 5 p,$25.500.000,2011,260.290
Kia Rio 1.4 Vibrant At,$65.500.000,2023,26.070
Kia Rio 1.4 5 p,$46.000.000,2016,105.000
Kia Rio 1.25,$49.000.000,2017,36.100
Kia Rio 1.4 Zenith Hb,$58.000.000,2018,45.000
Kia Rio 1.4 Sc Hb,$51.500.000,2018,51.900
Kia Rio Mecánico ,$65.800.000,2023,20.000
Kia Rio Spice R Summa 1.4,$47.000.000,2017,67.000
Kia Rio 1.25,$37.500.000,2015,104.639
Kia Rio Spice 1.2,$47.000.000,2015,52.500
Kia Rio R Ub X 1.250,$49.900.000,2018,104.000
Kia Rio Spice Spice,$40.500.000,2016,110.000
Kia Rio 1.4 Vibrant Mt,$66.500.000,2022,25.900
Kia Rio 1.2 4 p,$54.000.000,2017,63.000
Kia Rio 1.4 4 p,$29.000.000,2012,99.800
Kia Rio 1250 4 P,$38.900.000,2014,102.000
Kia Rio 1.5 Stylus,$24.500.000,2014,98.000
Kia Rio 1.2 4 p,$43.800.000,2015,73.000
Kia Rio 1.4 Vibrant Hb 4 p,$64.500.000,2022,39.000
Kia Rio 1.25,$42.900.000,2015,34.700
Kia Rio 1.4 Emotion Hb,$51.000.000,2019,70.000
Kia Rio 1.4 Vibrant At,$62.000.000,2022,40.000
Kia Rio 1.4 Vibrant Hb 5 p,$53.000.000,2019,50.000
Kia Rio 1.5 Stylus,$26.500.000,2012,62.725
